"crym","admd_c","ana_mgpo_nm","ana_ccd_nm","admd_nm","dayofweek","sl_am","sl_ct"
202306,1120053500,"서울특별시","성동구","왕십리도선동","Thu",6641578,271
202306,1120053500,"서울특별시","성동구","왕십리도선동","Tue",5963564,223
202306,1120053500,"서울특별시","성동구","왕십리도선동","Wed",6259300,259
202306,1120054000,"서울특별시","성동구","마장동","Fri",3117730,131
202306,1120054000,"서울특별시","성동구","마장동","Mon",2988022,114
202306,1120054000,"서울특별시","성동구","마장동","Sat",3967504,159
202306,1120054000,"서울특별시","성동구","마장동","Sun",3948702,150
202306,1120054000,"서울특별시","성동구","마장동","Thu",3143556,132
202306,1120054000,"서울특별시","성동구","마장동","Tue",2311099,91
202306,1120054000,"서울특별시","성동구","마장동","Wed",3055514,132
202306,1120055000,"서울특별시","성동구","사근동","Fri",2656878,89
202306,1120055000,"서울특별시","성동구","사근동","Mon",1353018,57
202306,1120055000,"서울특별시","성동구","사근동","Sat",2061287,79
202306,1120055000,"서울특별시","성동구","사근동","Sun",2954253,107
202306,1120055000,"서울특별시","성동구","사근동","Thu",2670791,103
202306,1120055000,"서울특별시","성동구","사근동","Tue",2029700,73
202306,1120055000,"서울특별시","성동구","사근동","Wed",2830630,108
202306,1120056000,"서울특별시","성동구","행당1동","Fri",3203169,118
202306,1120056000,"서울특별시","성동구","행당1동","Mon",2820657,111
202306,1120056000,"서울특별시","성동구","행당1동","Sat",3614438,138
202306,1120056000,"서울특별시","성동구","행당1동","Sun",3628825,143
202306,1120056000,"서울특별시","성동구","행당1동","Thu",3718753,132
202306,1120056000,"서울특별시","성동구","행당1동","Tue",1952750,78
202306,1120056000,"서울특별시","성동구","행당1동","Wed",3102586,125
202306,1120057000,"서울특별시","성동구","행당2동","Fri",5820550,226
202306,1120057000,"서울특별시","성동구","행당2동","Mon",5072387,205
202306,1120057000,"서울특별시","성동구","행당2동","Sat",8762082,334
202306,1120057000,"서울특별시","성동구","행당2동","Sun",7792426,300
202306,1120057000,"서울특별시","성동구","행당2동","Thu",6484034,251
202306,1120057000,"서울특별시","성동구","행당2동","Tue",5572956,216
202306,1120057000,"서울특별시","성동구","행당2동","Wed",5791213,236
202306,1120058000,"서울특별시","성동구","응봉동","Fri",3360159,127
202306,1120058000,"서울특별시","성동구","응봉동","Mon",2629558,109
202306,1120058000,"서울특별시","성동구","응봉동","Sat",3792951,143
202306,1120058000,"서울특별시","성동구","응봉동","Sun",4199434,152
202306,1120058000,"서울특별시","성동구","응봉동","Thu",3303835,133
202306,1120058000,"서울특별시","성동구","응봉동","Tue",3097915,129
202306,1120058000,"서울특별시","성동구","응봉동","Wed",3802351,152
202306,1120059000,"서울특별시","성동구","금호1가동","Fri",3544880,135
202306,1120059000,"서울특별시","성동구","금호1가동","Mon",2763086,104
202306,1120059000,"서울특별시","성동구","금호1가동","Sat",5009005,177
202306,1120059000,"서울특별시","성동구","금호1가동","Sun",4443602,160
202306,1120059000,"서울특별시","성동구","금호1가동","Thu",3779148,143
202306,1120059000,"서울특별시","성동구","금호1가동","Tue",2729428,100
202306,1120059000,"서울특별시","성동구","금호1가동","Wed",3575247,136
202306,1120061500,"서울특별시","성동구","금호2·3가동","Fri",3725592,134
202306,1120061500,"서울특별시","성동구","금호2·3가동","Mon",2947820,110
202306,1120061500,"서울특별시","성동구","금호2·3가동","Sat",4577293,158
202306,1120061500,"서울특별시","성동구","금호2·3가동","Sun",4885903,172
202306,1120061500,"서울특별시","성동구","금호2·3가동","Thu",3242148,128
202306,1120061500,"서울특별시","성동구","금호2·3가동","Tue",2851088,102
202306,1120061500,"서울특별시","성동구","금호2·3가동","Wed",3523992,140
202306,1120062000,"서울특별시","성동구","금호4가동","Fri",4398336,167
202306,1120062000,"서울특별시","성동구","금호4가동","Mon",2962937,119
202306,1120062000,"서울특별시","성동구","금호4가동","Sat",4717267,171
202306,1120062000,"서울특별시","성동구","금호4가동","Sun",4989433,179
202306,1120062000,"서울특별시","성동구","금호4가동","Thu",3875636,145
202306,1120062000,"서울특별시","성동구","금호4가동","Tue",3274661,117
202306,1120062000,"서울특별시","성동구","금호4가동","Wed",3378010,135
202306,1120064500,"서울특별시","성동구","옥수동","Fri",7273592,271
202306,1120064500,"서울특별시","성동구","옥수동","Mon",5652950,227
202306,1120064500,"서울특별시","성동구","옥수동","Sat",9657974,344
202306,1120064500,"서울특별시","성동구","옥수동","Sun",9076651,319
202306,1120064500,"서울특별시","성동구","옥수동","Thu",7705590,294
202306,1120064500,"서울특별시","성동구","옥수동","Tue",6686767,252
202306,1120064500,"서울특별시","성동구","옥수동","Wed",7402549,287
